"movieId","tmdbId","title","original_title","overview","release_date","poster_path","backdrop_path","tmdb_vote","vote_count","popularity","dtype","originalLanguage"
"35412","35412","On the Beach","On the Beach","In 1964, atomic war wipes out humanity in the northern hemisphere; one American submarine finds temporary safe haven in Australia, where life-as-usual covers growing despair. In denial about the loss of his wife and children in the holocaust, American Captain Towers meets careworn but gorgeous Moira Davidson, who begins to fall for him. The sub returns after reconnaissance a month (or less) before the end; will Towers and Moira find comfort with each other?","1959-12-17","/lTDuj5zalrI0fpQel7UfPHTexTK.jpg","/kiRjFt3UYI8j75h7JVlvz0jM1NM.jpg","6.7","233","2.2261","MOVIE","en"
"8333","8333","The Taking of Pelham One Two Three","The Taking of Pelham One Two Three","In New York, armed men hijack a subway car and demand a ransom for the passengers. Even if it's paid, how could they get away?","1974-10-02","/vNhywp9w1DVG6BytxKp4kjtaaGC.jpg","/wDLUp63wIE6NeWHAcJkCijhI3M8.jpg","7.4","612","2.7866","MOVIE","en"
"19259","19259","Volunteers","Volunteers","After graduating from Yale in 1962, womanizing Lawrence flees a gambling debt that his rich dad won't pay and takes his roomie's place as a Peace Corps Volunteer in the Thai Golden Triangle with two other PCVs. Will he survive two years?","1985-08-16","/tua28Wyv9uGBtPTBGCP7GsN3Znu.jpg","/xuwqYwzsgwfr0mk6sBNRy6C8JpK.jpg","5.5","177","1.7842","MOVIE","en"
"820","820","JFK","JFK","Follows the investigation into the assassination of President John F. Kennedy led by New Orleans district attorney Jim Garrison.","1991-12-20","/r0VWVTYlqdRCK5ZoOdNnHdqM2gt.jpg","/77gjiDyD94aJfqZq6AJAcMLxZhd.jpg","7.598","2368","6.5528","MOVIE","en"
"11718","11718","Who's Harry Crumb?","Who's Harry Crumb?","Harry Crumb is a bumbling and inept private investigator who is hired to solve the kidnapping of a young heiress which he's not expected to solve because his employer is the mastermind behind the kidnapping.","1989-02-03","/6iUoyyaMklULVoGJDyHcN4nGgSX.jpg","/pR2UeB0QXN1n8Rs68ryMHDgEibq.jpg","5.948","354","1.6804","MOVIE","en"
"8989","8989","Harry and the Hendersons","Harry and the Hendersons","Returning from a hunting trip in the forest, the Henderson family's car hits an animal in the road. At first they fear it was a man, but when they examine the ""body"" they find it's a ""bigfoot"". They think it's dead so they decide to take it home (there could be some money in this). As you guessed, it isn't dead. Far from being the ferocious monster they fear ""Harry"" to be, he's a friendly giant.","1987-06-05","/5ZNWhOEsuNHIQ1gbtwdTGK7srCr.jpg","/mYkTLvUJsxCcosOM9ggz9D8Thiw.jpg","6.123","722","1.9448","MOVIE","en"
"32031","32031","Let's Get Harry","Let's Get Harry","Harry Burck has been kidnapped by South American terrorists, and when the US Government refuses to intervene, Harry's friends decide to take matters into their own hands!","1986-10-31","/qyKxAZbcnzmn24oATeUX7DqQ7aB.jpg","/5sieW2Qylvu7nAPc9bq2eKmNsDf.jpg","6.2","46","1.1887","MOVIE","en"
"58048","58048","Shanghai Surprise","Shanghai Surprise","Glendon Wasey is a fortune hunter looking for a fast track out of China. Gloria Tatlock is a missionary nurse seeking the curing powers of opium for her patients. Fate sets them on a hectic, exotic, and even romantic quest for stolen drugs. But they are up against every thug and smuggler in Shangai.","1986-08-29","/8zsU3Vq9FG9Q0kTEYrl0CWDlvX2.jpg","/bKFHdrSfQCHmJwajs647gmfRmSK.jpg","4.2","99","1.1173","MOVIE","en"
"26827","26827","Who's That Girl","Who's That Girl","An uptight New York City tax lawyer gets his life turned upside down one day when he's asked to escort a feisty free-spirited ex-convict who asks him to help prove her innocence of her crime.","1987-08-07","/2Yu6ciKKgSWIZAzUg4IrrifO23z.jpg","/nPLS4lsCl34nIIMb1MBYtHsd5hY.jpg","5.5","246","1.8864","MOVIE","en"
"11157","11157","She-Devil","She-Devil","A cunning and resourceful housewife vows revenge on her husband when he begins an affair with a wealthy romance novelist.","1989-12-08","/jWYAXtdYF804aT1muO0G6FuR2Fa.jpg","/vHRxxSB9oiZvRyBlLAs3KZkM6T.jpg","5.9","428","1.9624","MOVIE","en"
"28370","28370","Date with an Angel","Date with an Angel","Aspiring composer Jim Sanders is engaged to spoiled rich girl Patty. But the morning after his bachelor party, Jim wakes up to discover a beautiful, broken-winged angel in his pool. When everyone finds out about his heavenly houseguest, Jim must cope with a dangerously jealous fiancée, an exploitive future father-in-law and a group of buddies with an outrageous business plan!","1987-11-20","/g9CjIIyZdCybuCRkn4Ad8uWBclu.jpg","/A9sGtL2mvcQNDhNaNPPYP91wjqJ.jpg","6.7","106","1.0917","MOVIE","en"
"918","918","Blind Date","Blind Date","When bachelor Walter Davis is set up with his sister-in-law's pretty cousin, Nadia Gates, a seemingly average blind date turns into a chaotic night on the town. Walter's brother, Ted, tells him not to let Nadia drink alcohol, but he dismisses the warning and her behaviour gets increasingly wild. Walter and Nadia's numerous incidents are made even worse as her former lover David relentlessly follows them around town.","1987-03-27","/cLb3akSpZhU5qkmCO46IHfJtcs0.jpg","/uVGNcJeDIcDhZihBBnNWeQiX5w9.jpg","6.0","528","3.1553","MOVIE","en"
"61178","61178","Nadine","Nadine","Hairdresser Nadine Hightower wants to retrieve the risqué photos she once posed for, but when she visits the photographer at his office, he's murdered by an intruder. Nadine talks her estranged husband, Vernon, into going along when she returns to the office, where they stumble across plans for a less than legal construction project. But when Vernon tries to turn the documents into a cash windfall, he and Nadine are pursued by goons with guns.","1987-08-07","/mim8TLLXmD3ui03f9jVmOXGACv8.jpg","/AgiBouLTSIFvpfBPP2R5b9wH7Xh.jpg","5.4","88","1.0914","MOVIE","en"
