id,seasonNumber,name,series_id
23683,1,Season 1,4207
28637,3,Season 3,4568
13443,2,Season 2,4705
13444,3,Season 3,4705
13445,4,Season 4,4705
13447,5,Season 5,4705
151794,1,Season 1,4719
151795,2,Season 2,4719
151796,3,Season 3,4719
151797,4,Season 4,4719
23507,5,Season 5,4719
23508,6,Season 6,4719
151798,7,Season 7,4719
151799,8,Season 8,4719
23509,9,Season 9,4719
190856,10,Season 10,4719
190858,11,Season 11,4719
190860,13,Season 13,4719
190861,14,Season 14,4719
23511,15,Season 15,4719
190862,16,Season 16,4719
190863,17,Season 17,4719
190864,18,Season 18,4719
151793,19,Season 19,4719
187955,20,Season 20,4719
284332,21,Season 21,4719
312708,22,Season 22,4719
333185,23,Season 23,4719
384063,25,Season 25,4719
451321,26,Season 16,4719
461116,27,Season 27,4719
471697,28,Season 28,4719
504302,29,Season 29,4719
20998,1,Season 1,4775
23423,1,Season 1,4784
36042,1,The Archie Comedy Hour,4849
36043,2,Sabrina and the Groovie Goolies,4849
2028,1,Season 1,4896
25750,1,Season 1,4900
5939,1,Season 1,4903
63278,2,Season 2,4903
462961,3,Season 3,4903
21462,1,Season 1,4932
454801,1,Season 1,4965
129377,1,Season 1,4977
129378,2,Season 2,4977
129379,3,Season 3,4977
18309,1,Season 1,4989
25157,1,Season 1,5075
385857,1,Season 1,5106
385858,2,Season 2,5106
2830,1,Season 1,5120
2831,2,Season 2,5120
2833,3,Season 3,5120
1364,1,Season 1,5135
1362,2,Season 2,5135
1363,3,Season 3,5135
1361,4,Season 4,5135
1360,5,Season 5,5135
70908,1,Season 1,5165
185157,2,Season 2,5165
185158,3,Season 3,5165
185159,4,Season 4,5165
185160,5,Season 5,5165
185161,6,Season 6,5165
192853,1,1959-1965,5291
451496,2,1965-1966,5291
451497,3,1966-1967,5291
420748,4,1967-1968,5291
451643,5,1968-1969,5291
451644,6,1969-1970,5291
451645,7,1970-1971,5291
451646,8,1971-1972,5291
451647,9,1972-1973,5291
451648,10,1973-1974,5291
451649,11,1974-1975,5291
451650,12,1975-1976,5291
451277,13,1976-1977,5291
451279,14,1977-1978,5291
451652,15,1978-1979,5291
451653,16,1979-1980,5291
451654,17,1980-1981,5291
451655,18,1981-1982,5291
451656,19,1982-1983,5291
451657,20,1983-1984,5291
451658,21,1984-1985,5291
451659,22,1985-1986,5291
451660,23,1986-1987,5291
451661,24,1987-1988,5291
451662,25,1988-1989,5291
451663,26,1989-1990,5291
451664,27,1990-1991,5291
451665,28,1991-1992,5291
451666,29,1992-1993,5291
451667,30,1993-1994,5291
451668,31,1994-1995,5291
451669,32,1995-1996,5291
451670,33,1996-1997,5291
451671,34,1997-1998,5291
397097,35,1998-1999,5291
451672,36,1999-2000,5291
451673,37,1994,5291
451675,39,1996,5291
451676,40,1997,5291
451677,41,1998,5291
397096,42,1999,5291
451678,43,2000,5291
451679,44,2001,5291
451680,45,2002,5291
451681,46,2003,5291
451682,47,2004,5291
451683,48,2005,5291
451684,49,2006,5291
451685,50,2007,5291
397095,52,2009,5291
451687,53,2010,5291
451688,54,2011,5291
451689,55,2012,5291
451690,56,2013,5291
451691,57,2014,5291
75949,58,2015,5291
98246,59,2016,5291
98244,60,2017,5291
397093,61,2018,5291
451693,62,2019,5291
451694,63,2020,5291
451695,64,2021,5291
451696,65,2022,5291
451697,66,2023,5291
451698,67,2024,5291
451699,68,2025,5291
4213,2,Season 2,5293
22847,1,Season 1,5308
3370,1,Season 1,5325
3371,2,Season 2,5325
3372,3,Season 3,5325
3373,4,Season 4,5325
3374,5,Season 5,5325
3375,6,Season 6,5325
14073,1,Season 1,5400
14076,2,Season 2,5400
14077,3,Season 3,5400
14075,4,Season 4,5400
14074,5,Season 5,5400
14072,6,Season 6,5400
14078,7,Season 7,5400
14079,8,Season 8,5400
14080,9,Season 9,5400
14082,10,Season 10,5400
14083,11,Season 11,5400
62834,12,Season 12,5400
70439,13,Season 13,5400
79755,14,Season 14,5400
91258,15,Season 15,5400
106151,16,Season 16,5400
126158,17,Season 17,5400
167653,18,Season 18,5400
201998,19,Season 19,5400
365595,21,Season 21,5400
402099,22,Season 22,5400
465505,23,Season 23,5400
20505,1,Season 1,5423
20506,2,Season 2,5423
20507,3,Season 3,5423
20508,4,Season 4,5423
20509,5,Season 5,5423
20510,6,Season 6,5423
20511,7,Season 7,5423
20512,8,Season 8,5423
20513,9,Season 9,5423
340484,1,Season 1,5440
340485,2,Season 2,5440
340486,3,Season 3,5440
593,1,Season 1,5445
16550,1,Series 1,5489
25137,1,Season 1,5501
25138,2,Season 2,5501
378954,1,Season 1,5523
31553,1,Season 1,5752
441467,1,Season 1,5792
