id,seasonNumber,name,series_id
45158,1,Season 1,5829
64284,1,Season 1,6049
64285,2,Season 2,6049
73479,3,Season 3,6049
83449,4,Season 4,6049
115075,6,Season 6,6049
88988,1,Season 1,6060
110535,2,Season 2,6060
21263,1,Season 1,6063
106640,1,Season 1,6090
22627,1,Season 1,6104
237537,1,Season 1,6166
237538,2,Season 2,6166
27444,1,Miniseries,6186
200089,1,Season 1,6212
19409,1,Season 1,6213
19410,2,Season 2,6213
19411,3,Season 3,6213
187805,4,Season 4,6213
19412,5,Season 5,6213
187806,6,Season 6,6213
187807,7,Season 7,6213
19413,8,Season 8,6213
19414,9,Season 9,6213
19415,10,Season 10,6213
19416,11,Season 11,6213
19417,12,Season 12,6213
19418,13,Season 13,6213
187808,15,Season 15,6213
48483,1,? season 1,6234
26168,1,Season 1,6254
98368,1,Miniseries,6269
23398,1,Season 1,6270
23399,2,Season 2,6270
24394,1,season 1,6298
31851,1,Season 1,6339
1829,1,Season 1,6365
1833,2,Season 2,6365
1832,3,Season 3,6365
1831,4,Season 4,6365
1830,5,Season 5,6365
21044,1,Season 1,6367
19480,1,Season 1,6378
36783,1,Season 1,6433
18138,1,Season 1,6436
18139,2,Season 2,6436
7834,1,Season 1,6442
7835,2,Season 2,6442
7832,3,Season 3,6442
7828,4,Season 4,6442
7829,5,Season 5,6442
7833,7,Season 7,6442
7830,8,Season 8,6442
7827,9,Season 9,6442
7836,10,Season 10,6442
7837,11,Season 11,6442
7839,12,Season 12,6442
7840,13,Season 13,6442
298890,14,Season 14,6442
298891,15,Season 15,6442
84603,17,Season 17,6442
298889,18,Season 18,6442
417796,2,Season 2,6484
417797,3,Season 3,6484
417798,4,Season 4,6484
417799,5,Season 5,6484
417800,6,Season 6,6484
417801,7,Season 7,6484
417802,8,Season 8,6484
417803,9,Season 9,6484
417805,11,Season 11,6484
429450,12,Season 12,6484
429451,13,Season 13,6484
429453,15,Season 15,6484
429454,16,Season 16,6484
429455,17,Season 17,6484
429456,18,Season 18,6484
429457,19,Season 19,6484
13359,1,Season 1,6565
13360,2,Season 2,6565
13361,3,Season 3,6565
13362,4,Season 4,6565
13365,7,Season 7,6565
401707,1,Season 1,6639
13957,1,Season 1,6666
13958,2,Season 2,6666
13959,3,Season 3,6666
13960,4,Season 4,6666
13961,5,Season 5,6666
13962,6,Season 6,6666
13963,7,Season 7,6666
13964,8,Season 8,6666
13965,9,Season 9,6666
20864,1,Season 1,6686
9167,1,Season 1,6687
25332,1,Season 1,6732
872,1,Season 1,6754
9799,1,Season 1,6856
126592,1,Season 1,6873
159012,1,Season 1,6889
22827,2,Series 2,6950
22832,3,Series 3,6950
22826,4,Series 4,6950
22824,5,Series 5,6950
22823,6,Series 6,6950
22830,8,Series 8,6950
22825,9,Series 9,6950
22829,10,Series 10,6950
41519,1,Season 1,6963
157164,1,Season 1,6989
18091,1,Season 1,6996
204464,1,Season 1,7001
5179,1,Season 1,7016
5181,3,Season 3,7016
5183,5,Season 5,7016
22164,1,Season 1,7034
161375,1,Season 1,7054
29497,1,Season 1,7057
1876,1,Season 1,7065
2853,1,Season 1,7072
27363,1,Season 1,7087
22398,1,Season 1,7101
22399,2,Season 2,7101
21997,1,Season 1,7104
20732,1,(us) season 1,7139
19952,1,Season 1,7142
23530,1,Season 1,7257
32506,1,Season 1,7304
18705,1,! season 1,7315
18706,2,! season 2,7315
18707,3,! season 3,7315
36406,2,Season 2,7335
36407,3,Season 3,7335
36408,4,Season 4,7335
36409,5,Season 5,7335
36410,6,Season 6,7335
36411,7,Season 7,7335
36412,8,Season 8,7335
36414,9,Season 9,7335
36415,10,Season 10,7335
201056,12,Season 12,7335
201057,13,Season 13,7335
201058,14,Season 14,7335
201059,15,Season 15,7335
201060,16,Season 16,7335
201061,17,Season 17,7335
201062,18,Season 18,7335
432416,19,Season 19,7335
483786,20,Season 20,7335
80932,1,Season 1,7344
24600,1,Season 1,7377
39164,1,Season 1,7390
39165,2,Season 2,7390
1151,1,Season 1,7438
21621,1,Season 1,7450
21619,2,Season 2,7450
42521,1,Season 1,7564
26582,1,Season 1,7646
29881,1,Season 1,7745
29882,2,Season 2,7745
35164,1,Season 1,7840
32571,1,Season 1,7993
32572,2,Season 2,7993
32573,3,Season 3,7993
60107,1,Season 1,8119
2473,1,1986,8157
159318,2,1987,8157
159319,3,1988,8157
159320,4,1989,8157
159321,5,1990,8157
159322,6,1991,8157
316129,9,Superstars - 1994,8157
316131,11,Superstars - 1996,8157
316132,12,Superstars - 1997,8157
316133,13,1998,8157
316134,14,1999,8157
316135,15,2000,8157
316136,16,2001,8157
22026,1,Season 1,8169
13987,1,Season 1,8362
13988,2,Season 2,8362
13989,3,Season 3,8362
13986,5,Season 5,8362
13991,6,Season 6,8362
138888,1,Season 1,8373
19752,3,Season 3,8373
19753,4,Season 4,8373
19754,5,Season 5,8373
19755,6,Season 6,8373
19756,7,Season 7,8373
19759,8,Season 8,8373
19757,9,Season 9,8373
138903,11,Season 11,8373
138904,12,Season 12,8373
106125,2,Season 2,8424
287303,1,Season 1,8670
80674,1,Season 1,8677
84116,2,Season 2,8677
66791,1,Season 1,8718
92816,2,Season 2,8718
449578,3,Season 3,8718
449579,4,Season 4,8718
449580,5,Season 5,8718
449581,6,Season 6,8718
449582,7,Season 7,8718
449583,8,Season 8,8718
32916,1,Season 1,8743
32918,3,Season 3,8743
32919,4,Season 4,8743
32924,6,Season 6,8743
32922,7,Season 7,8743
32921,8,Season 8,8743
418644,10,Season 10,8743
106715,11,Season 11,8743
33214,1,Season 1,8795
1155,1,Wwe the bottom line season 1,8810
1157,3,Wwe the bottom line season 3,8810
20118,1,Season 1,8870
20119,2,Season 2,8870
20120,3,Season 3,8870
328863,1,1,8911
25713,1,Season 1,8914
27671,1,Series 1,8918
27672,2,Season 2,8918
27673,3,Season 3,8918
27674,4,Season 4,8918
27676,5,Season 5,8918
175260,6,Season 6,8918
74468,1,Season 1,8921
21577,1,Season 1,8951
304710,1,Season 1,8952
19619,1,Season 1,8969
19620,2,Season 2,8969
22431,1,(uk) season 1,8974
371825,1,Season 1,25963
371826,2,Season 2,25963
371827,3,Season 3,25963
53211,1,Season 1,26002
21533,1,"Fire me, please season 1",26085
64046,1,Kamen Rider,26152
64047,2,V3,26152
64048,3,X,26152
64049,4,Amazon,26152
64050,5,Stronger,26152
64051,6,Skyrider,26152
64052,7,Super-1,26152
64053,8,Black,26152
64054,9,Black RX,26152
64055,10,Kuuga,26152
64058,13,555,26152
64059,14,Blade,26152
64060,15,Hibiki,26152
64061,16,Kabuto,26152
64062,17,Den-O,26152
64063,18,Kiva,26152
64064,19,Decade,26152
64065,20,W,26152
64066,21,OOO,26152
64069,24,Gaim,26152
64070,25,Drive,26152
69800,26,Ghost,26152
78368,27,Ex-Aid,26152
78420,28,Build,26152
108407,29,Zi-O,26152
130188,30,Zero-One,26152
160714,31,Saber,26152
204921,32,Revice,26152
296206,33,Geats,26152
353411,34,Gotchard,26152
492899,37,MY-TH,26152
3690,1,Season 1,26285
3692,2,Season 2,26285
19478,1,Season 1,26350
28974,1,Season 1,26612
19576,1,Season 1,26680
19575,2,Season 2,26680
19577,3,Season 3,26680
24542,1,Season 1,26849
234342,1,Season 1,26887
48922,1,Season 1,26928
48923,2,Season 2,26928
17306,1,Miniseries,27036
163181,1,Season 1,27251
27577,1,Season 1,27311
27578,2,Season 2,27311
27579,3,Season 3,27311
27582,4,Season 4,27311
27583,5,Season 5,27311
27581,7,Season 7,27311
439519,8,Season 8,27311
61504,9,Season 9,27311
439520,10,Season 10,27311
439521,11,Season 11,27311
439522,12,Season 12,27311
132685,14,Season 14,27311
240131,15,Season 15,27311
383412,16,Season 16,27311
439524,17,Season 17,27311
392994,1,Season 1,27491
392995,2,Season 2,27491
392996,3,Season 3,27491
21398,1,Season 1,27537
47099,1,Season 1,27549
133577,2,Season 2,27549
500588,1,Series 1,27555
27559,1,Season 1,27595
301176,1,Season 1,27611
22033,1,Season 1,27695
22034,2,Season 2,27695
41398,1,Season 1,27744
41399,4,Season 4,27744
41400,5,Season 5,27744
41401,6,Season 6,27744
207969,1,Season 1,27839
102564,1,Season 1,30848
5305,1,Season 1,30892
21845,1,Season 1,30898
21844,2,Season 2,30898
21846,3,Season 3,30898
21847,4,Season 4,30898
21848,5,Season 5,30898
45150,1,Season 1,31086
45151,2,Season 2,31086
24822,1,Season 1,31193
179804,1,Season 1,31367
19934,1,Season 1,32011
32340,1,Season 1,32440
92477,1,Series 1,33893
92478,2,Series 2,33893
87818,1,Season 1,34162
292892,1,Season 1,34359
42639,1,Season 1,38159
466584,2,Season 2,38159
466585,3,Season 3,38159
466586,4,Season 4,38159
466587,5,Season 5,38159
466588,6,Season 6,38159
466589,7,Season 7,38159
239850,1,Season 1,38198
95577,1,Season 1,38294
21025,1,Season 1,38886
21026,2,Season 2,38886
112368,1,Season 1,39444
3747,1,Season 1,40955
3748,2,Season 2,40955
3750,3,Season 3,40955
62669,4,Season 4,40955
72266,5,Season 5,40955
79501,6,Season 6,40955
92696,7,Season 7,40955
469559,1,1993,42738
243118,1,Season 1,43549
179481,1,Season 1,44022
2747,2,Season 2,44022
2748,3,Season 3,44022
179482,4,Season 4,44022
241816,6,Season 6,44022
241817,7,Season 7,44022
241818,8,Season 8,44022
19869,1,Season 1,44840
19870,2,Season 2,44840
19871,3,Season 3,44840
19371,1,Season 1,46337
59777,2,Season 2,46337
59788,3,Season 3,46337
59840,4,Season 4,46337
67149,5,Season 5,46337
67150,6,Season 6,46337
67151,7,Season 7,46337
67152,8,Season 8,46337
67153,9,Season 9,46337
67154,10,Season 10,46337
67155,11,Season 11,46337
67156,12,Season 12,46337
67157,13,Season 13,46337
67158,14,Season 14,46337
67159,15,Season 15,46337
19203,1,Brigadoon season 1,46948
1531,1,Season 1,46967
1532,2,Season 2,46967
1529,3,Season 3,46967
1528,4,Season 4,46967
1533,5,Season 5,46967
1530,6,Season 6,46967
2918,1,Season 1,47491
66188,1,Series 1,48649
66189,2,Series 2,48649
4140,1,Season 1,48738
4138,2,Season 2,48738
4139,3,Season 3,48738
19535,1,Season 1,49130
6561,1,Season 1,49132
6562,2,Season 2,49132
4340,1,Season 1 - 1999,49286
462442,1,Season 1,50274
21102,1,Season 1,50685
21103,2,Season 2,50685
19880,1,Season 1,50942
25838,1,Season 1,51903
392557,1,Series 1,52281
24080,1,Season 1,52867
4296,1,Season 1,53000
4297,2,Season 2,53000
4298,3,Season 3,53000
4299,4,Season 4,53000
4300,5,Season 5,53000
4302,7,Season 7,53000
4303,8,Season 8,53000
4304,9,Season 9,53000
66833,11,Season 11,53000
77130,12,Season 12,53000
104461,14,Season 14,53000
123790,15,Season 15,53000
160501,16,Season 16,53000
192254,17,Season 17,53000
296593,19,Season 19,53000
395619,21,Season 21,53000
482204,22,Season 22,53000
887,1,Season 1,53125
888,2,Season 2,53125
889,3,Season 3,53125
890,4,Season 4,53125
891,5,Season 5,53125
25523,1,Season 1,53138
25526,3,Season 3,53138
34363,1,Season 1,53143
21166,1,Season 1,53326
24546,1,Season 1,55061
24860,1,Series 1,55167
24861,2,Series 2,55167
376306,1,Season 1,55207
13595,1,Season 1,55363
15617,1,Season 1,55768
4444,1,Season 1,56156
4439,2,Season 2,56156
4438,3,Season 3,56156
4441,4,Season 4,56156
4442,5,Season 5,56156
4443,6,Season 6,56156
4440,7,Season 7,56156
4445,8,Season 8,56156
4446,9,Season 9,56156
4448,10,Season 10,56156
419220,1,1967,56389
419221,2,1968,56389
419222,3,1969,56389
419223,4,1970,56389
419224,5,1971,56389
419225,6,1972,56389
419226,7,1973,56389
419227,8,1974,56389
419228,9,1974,56389
419229,10,1976,56389
419230,11,1977,56389
419231,12,1978,56389
419232,13,1979,56389
419233,14,1980,56389
419234,15,1981,56389
164928,1,Season 1,58287
125090,1,Season 1,58301
47100,1,Season 1,58870
47101,2,Season 2,58870
47102,3,Season 3,58870
47103,4,Season 4,58870
696,1,Season 1,59615
695,2,Season 2,59615
706,3,Season 3,59615
692,4,Season 4,59615
693,5,Season 5,59615
694,6,Season 6,59615
700,7,Season 7,59615
697,8,Season 8,59615
698,9,Season 9,59615
699,10,Season 10,59615
703,11,Season 11,59615
702,12,Season 12,59615
704,13,Season 13,59615
705,14,Season 14,59615
701,15,Season 15,59615
708,16,Season 16,59615
709,17,Season 17,59615
710,18,Season 18,59615
711,19,Season 19,59615
74615,20,Season 20,59615
73029,21,Season 21,59615
83011,22,Season 22,59615
23975,1,Season 1,60128
23860,1,Season 1,60674
23861,2,Season 2,60674
23862,3,Season 3,60674
23863,4,Season 4,60674
20167,1,Season 1,60943
20168,2,Season 2,60943
20169,3,Season 3,60943
366012,20,Season 20,62553
211405,21,Season 21,62553
439015,24,Season 24,62553
465824,25,Season 25,62553
97965,1,Season 1,62662
97967,2,Season 2,62662
172537,1,Season 1,62970
25132,1,Season 1,63433
25133,2,Season 2,63433
25134,3,Season 3,63433
24544,1,Season 1,63479
45597,1,Haré+Guu,64997
45598,2,Haré+Guu DELUXE,64997
25271,1,Season 1,65126
55721,1,Season 1,65135
19611,1,Season 1,65359
25625,1,Season 1,65882
338165,1,Season 1,67186
24029,1,Season 1,67267
197768,1,Season 1,68237
312299,2,Season 2,68237
26938,1,Season 1,68486
24552,1,Season 1,68659
1619,1,Season 1,68791
65212,1,Season 1,69524
65236,2,Season 2,69524
65238,4,Season 4,69524
65239,5,Season 5,69524
241243,7,Season 7,69524
241244,8,Season 8,69524
241247,11,Season 11,69524
241248,12,Season 12,69524
241249,13,Season 13,69524
241250,14,Season 14,69524
241251,15,Season 15,69524
241252,16,Season 16,69524
241253,17,Season 17,69524
241254,18,Season 18,69524
241255,19,Season 19,69524
241256,20,Season 20,69524
241259,23,Season 23,69524
241260,24,Season 24,69524
241261,25,Season 25,69524
241262,26,Season 26,69524
241263,27,Season 27,69524
241264,28,Season 28,69524
241265,29,Season 29,69524
294852,31,Season 31,69524
306247,32,Season 32,69524
326120,33,Season 33,69524
338611,34,Season 34,69524
358896,35,Season 35,69524
374051,36,Season 36,69524
396451,37,Season 37,69524
434905,38,Season 38,69524
449932,39,Season 39,69524
396293,1,Series 1,69844
396295,2,Series 2,69844
79365,1,Season 1,69849
89341,2,Season 2,69849
325852,3,Season 3,69849
371063,1,Season 1,70208
371066,2,Season 2,70208
496156,3,Season 3,70208
496157,4,Season 4,70208
33873,1,Season 1,71379
33874,2,Season 2,71379
33875,3,Season 3,71379
323378,1,Season 1,72701
64502,1,Season 1,72982
64503,2,Season 2,72982
35449,1,Season 1,73023
35450,2,Season 2,73023
7493,1,Season 1,73804
7494,2,Season 2,73804
37036,1,Season 1,74228
44601,1,Season 1,74342
32766,1,Season 1,74647
32912,1,Season 1,74688
348224,1,Season 1,75416
46449,1,Season 1,77414
46450,2,Season 2,77414
63183,3,Season 3,77414
63185,5,Season 5,77414
63186,6,Season 6,77414
66764,7,Season 7,77414
74542,8,Season 8,77414
84234,9,Season 9,77414
12258,1,Season 1,77688
38578,1,Season 1,79293
38581,1,Season 1,79592
53585,1,Season 1,79897
53218,1,Lifeguard! season 1,80846
53217,2,Lifeguard! season 2,80846
50355,1,Season 1,81847
50340,1,Season 1,82854
87857,1,Season 1,83827
321982,1,Season 1,85397
304802,2,Season 2,85780
60996,2,Season 2,85881
87114,4,Season 4,85881
87115,5,Season 5,85881
65505,10,Season 10,86320
80353,12,Season 12,86320
368854,13,Season 23/24,86320
294169,1,Season 1,86487
39170,1,Season 1,88327
25168,1,Season 1,88345
64202,1,Season 1,88744
64203,2,Re: Hamatora,88744
67269,1,Season 1,89087
61284,1,Season 1,90345
77611,3,Season 3,90345
59126,1,Season 1,90522
28475,1,Season 1,90746
28476,2,Season 2,90746
97097,1,Season 1,90863
97098,2,Season 2,90863
114678,3,Season 3,90863
122646,4,Season 4,90863
140428,5,Season 5,90863
178083,6,Season 6,90863
218248,7,Season 7,90863
84679,1,Season 1,91483
57093,1,Season 1,91671
70993,1,Season 1,92730
83560,1,Series 1,92954
125383,1,Season 1,93008
93740,1,Season 1,93443
125681,2,Season 2,93443
170240,3,Season 3,93443
113176,1,Season 1,95135
34949,1,Season 1,95475
34950,2,Season 2,95475
34951,3,Season 3,95475
111002,1,Season 1,95717
338486,1,Season 1,96084
338487,2,season 2,96084
78656,1,Season 1,96608
106250,2,Season 2,96608
127274,3,Season 3,96608
236297,4,Season 4,96608
292427,5,Season 5,96608
120058,1,Season 1,96616
194381,2,Season 2,96616
118408,1,Season 1,96964
163565,1,Season 1,97230
105319,1,Season 1,97643
143980,1,Season 1,97665
359707,2,Season 2,97665
359708,3,Season 3,97665
359710,5,Season 5,97665
359711,6,Season 6,97665
359712,7,Season 7,97665
359713,8,Season 8,97665
359714,9,Season 9,97665
359715,10,Season 10,97665
359716,11,Season 11,97665
140505,1,Season 1,98961
173094,2,Season 2,98961
173096,3,Season 3,98961
195244,4,Season 4,98961
213859,5,Season 5,98961
294459,6,Season 6,98961
82050,1,Series 1,99114
82051,2,What Happened Next,99114
82240,1,Season 1,99750
214819,1,Season 1,99846
330012,2,Season 2,99846
162205,1,Season 1,100390
120071,1,Miniseries,100397
212443,1,Season 1,100553
52965,1,Season 1,101074
118860,1,Season 1,101088
217021,2,Volume 2,101088
192796,1,Season 1,101283
112926,1,Season 1,101415
163683,1,Season 1,101962
82057,1,Season 1,102125
82059,2,Season 2,102125
82063,3,Season 3,102125
82101,4,Season 4,102125
160009,1,Season 1,103341
208445,1,Season 1,104337
189917,1,Season 1,104374
28218,2,Season 2,104837
138793,1,Season 1,104913
148168,1,Season 1,105020
202299,1,Season 1,105037
219708,1,Season 1,105213
317652,1,Season 1,105250
57262,1,Season 1,105720
57264,2,Season 2,105720
108387,4,Season 4,105720
97838,1,Season 1,106072
148649,1,Season 1,106542
217279,1,Season 1,106594
392841,1,Season 1,106642
312147,1,Season 1,106889
312149,2,Season 2,106889
312150,3,Season 3,106889
61660,1,Season 1,107159
242837,1,Season 1,108715
163673,1,Season 1,108727
286729,1,Season 1,109161
216381,1,Season 1,109850
343543,1,Season 1,110130
244329,1,Miniseries,110586
375815,1,Season 1,110611
110100,1,Season 1,112175
282502,2,Season 2,112183
282503,3,Season 3,112183
244359,1,Season 1,112940
365794,1,Season 1,113207
383894,1,Season 1,113604
305910,1,Season 1,115151
453148,1,Season 1,115502
291533,1,Season 1,115667
411196,1,Season 1,116138
163676,1,Season 1,117444
466804,2,Season 2,117444
481166,1,Season 1,117511
20659,1,Season 1,117646
386523,1,Season 1,118198
185568,2,Season 2,119218
124210,1,Season 1,119655
334595,2,Season 2,119655
111359,1,Season 1,119828
292175,1,Season 1,120637
462561,1,Season 1,120783
452596,1,Season 1,121035
129158,1,Season 1,121097
80898,1,Season 1,121372
210559,1,Season 1,122260
460514,1,Season 1,122904
442094,1,Season 1,122922
442096,3,Season 3,122922
442097,4,Season 4,122922
442098,5,Season 5,122922
442099,6,Season 6,122922
442100,7,Season 7,122922
442101,8,Season 8,122922
442102,9,Season 9,122922
442104,10,Season 10,122922
442108,11,Season 11,122922
442109,12,Season 12,122922
294180,1,Season 1,122926
344062,1,Series 1,123545
384678,1,Season 1,127114
491285,1,Season 1,127130
194436,1,Season 1,127180
489006,1,Season 1,127204
452491,1,Season 1,128099
411257,1,Season 1,128488
473224,2,Season 2,128488
301329,1,Season 1,128832
301313,2,Season 2,128832
301314,3,Season 3,128832
301315,4,Season 4,128832
301316,5,Season 5,128832
301317,6,Season 6,128832
301318,7,Season 7,128832
301319,8,Season 8,128832
301320,9,Season 9,128832
301321,10,Season 10,128832
301322,11,Season 11,128832
301323,12,Season 12,128832
301324,13,Season 13,128832
301375,17,Season 17,128832
301376,18,Season 18,128832
301377,19,Season 19,128832
301378,20,Season 20,128832
301379,21,Season 21,128832
301381,23,Season 23,128832
301382,24,Season 24,128832
301383,25,Season 25,128832
301384,26,Season 26,128832
301385,27,Season 27,128832
301386,28,Season 28,128832
301387,29,Season 29,128832
301388,30,Season 30,128832
301389,31,Season 31,128832
301390,32,Season 32,128832
301391,33,Season 33,128832
301392,34,Season 34,128832
301393,35,Season 35,128832
301394,36,Season 36,128832
301395,37,Season 37,128832
301396,38,Season 38,128832
301397,39,Season 39,128832
301398,40,Season 40,128832
301399,41,Season 41,128832
301402,42,Season 42,128832
301403,43,Season 43,128832
301404,44,Season 44,128832
301405,45,Season 45,128832
301406,46,Season 46,128832
301411,49,Season 49,128832
301371,50,Season 50,128832
301370,51,金馬51,128832
301369,52,金馬52,128832
301368,53,金馬53,128832
301367,54,金馬54,128832
301366,55,金馬55,128832
301365,56,金馬56,128832
301364,57,金馬57,128832
301328,58,金馬58,128832
301310,59,金馬59,128832
363728,60,金馬60,128832
430072,61,金馬61,128832
486126,62,金馬62,128832
294436,1,Season 1,131578
514849,1,Season 1,131724
432203,1,Season 1,132333
425988,1,Season 1,133281
400271,2,Season 2,133545
36440,1,Season 1,134004
508238,1,Season 1,134248
21407,1,Season 1,134326
176064,1,Season 1,134849
206757,1,Season 1,135133
206758,2,Season 2,135133
206759,3,Season 3,135133
367628,1,Season 1,136800
50477,1,Season 1,136838
50478,2,Season 2,136838
50479,3,Season 3,136838
75523,1,Season 1,137859
391892,1,Season 1,139915
493072,1,Season 1,141544
63361,1,Season 1,141820
112285,2,Season 2,141820
112286,3,Season 3,141820
469647,4,Season 4,141820
469648,5,Season 5,141820
469649,6,Season 6,141820
485484,7,Season 7,141820
485485,8,Season 8,141820
485486,9,Season 9,141820
485487,10,Season 10,141820
510730,11,Season 11,141820
510731,12,Season 12,141820
291691,1,Season 1,142115
82073,1,Season 1,143367
199327,1,Season 1,147250
89075,1,Season 1,147328
89076,2,Season 2,147328
89078,1,Season 1,147330
322045,1,Season 1,147662
45727,1,Season 1,157775
11357,1,Season 1,158388
11358,2,Season 2,158388
11359,3,Season 3,158388
47028,1,Season 1,163112
121004,1,Season 1,167538
404657,1,Season 1,170957
74549,1,Season 1,172497
99072,2,Season 2,172497
314343,1,Season 1,172909
73139,1,Season 1,174141
128614,1,Season 1,175401
156446,1,Season 1,180263
156447,2,Season 2,180263
156448,3,Season 3,180263
192081,1,Season 1,182731
49258,1,Season 1,193609
