media_content_id,tmdbId,title,original_title,overview,release_date,poster_path,backdrop_path,tmdb_vote,vote_count,popularity,dtype,originalLanguage,cast,director
144953,144953,Where's Marlowe?,Where's Marlowe?,"After making a disastrous 3-hour documentary on New York City's water supply, two young filmmakers focus on the goings-on of life in the LA offices of Boone and Murphy, private investigators. Cheating husbands and missing dogs fail to bring in the big bucks, however, and after sleeping with the wife of one of their clients, Murphy leaves. To stop Boone from having to close down the business, the filmmakers must resort to a more hands-on approach in the investigations to ensure the completion of their movie.",1998-10-01,/lBYQEQidyOkL5VI59FRHVmoMC4z.jpg,,5.3,10,0.7234,MOVIE,en,"Miguel Ferrer, John Livingston, Yasiin Bey, John Slattery, Allison Dean",Daniel Pyne
11663,11663,The Commitments,The Commitments,"Jimmy Rabbitte, just a thick-ya out of school, gets a brilliant idea: to put a soul band together in Barrytown, his slum home in north Dublin. First he needs musicians and singers: things slowly start to click when he finds three fine-voiced females virtually in his back yard, a lead singer (Deco) at a wedding, and, responding to his ad, an aging trumpet player, Joey ""The Lips"" Fagan.",1991-08-14,/iccBDq9aS1gwi6b8aJjBgPU4t2D.jpg,/bQHHEFYBZc23nhbo0z0qB7nxW31.jpg,7.263,597,2.6795,MOVIE,en,"Robert Arkins, Michael Aherne, Angeline Ball, Maria Doyle Kennedy, Dave Finnegan",Alan Parker
13485,13485,Holiday Inn,Holiday Inn,"Lovely Linda Mason has crooner Jim Hardy head over heels, but suave stepper Ted Hanover wants her for his new dance partner after fickle Lila Dixon gives him the brush. Jim's supper club, Holiday Inn, is the setting for the chase by Hanover and his manager.",1942-07-10,/3PS5QoUfhC7fgpylW92UY3NneXT.jpg,/4xM4PBZ7hCeMZAQn1pC1Baxmzaq.jpg,7.0,219,1.2865,MOVIE,en,"Bing Crosby, Fred Astaire, Marjorie Reynolds, Virginia Dale, Walter Abel",Mark Sandrich
9289,9289,The Longest Day,The Longest Day,"The retelling of June 6, 1944, from the perspectives of the Germans, US, British, Canadians, and the Free French. Marshall Erwin Rommel, touring the defenses being established as part of the Reich's Atlantic Wall, notes to his officers that when the Allied invasion comes they must be stopped on the beach. ""For the Allies as well as the Germans, it will be the longest day""",1962-09-25,/5zmvEofdIlgXrQl9A7e5IOzlnFU.jpg,/yt9FIS2Osm97M7w4dLFkBu7YxW8.jpg,7.6,1006,4.3895,MOVIE,en,"John Wayne, Robert Mitchum, Henry Fonda, Richard Burton, Sean Connery","Ken Annakin, Andrew Marton, Bernhard Wicki"
9264,9264,Poison Ivy,Poison Ivy,A seductive teen befriends an introverted high school student and schemes her way into the lives of her wealthy family.,1992-05-08,/3pYkklZMMD00B00jDT5PHvN0Dhm.jpg,/f9oNiTUoharENGjdDufG0aDbSIO.jpg,5.4,391,3.9277,MOVIE,en,"Drew Barrymore, Tom Skerritt, Sara Gilbert, Cheryl Ladd, Alan Stock",Katt Shea
18222,18222,Poison Ivy: The New Seduction,Poison Ivy: The New Seduction,A sinister seductress vows to destroy a suburban family.,1997-07-01,/l9Z43sz0qjTrmDjXRlChIVoH1JB.jpg,/ijishHVrvb6pLVuiFtLF7sR6awI.jpg,4.792,113,1.6293,MOVIE,en,"Jaime Pressly, Megan Edwards, Michael Des Barres, Greg Vaughan, Merete Van Kamp",Kurt Voss
11165,11165,Tora! Tora! Tora!,Tora! Tora! Tora!,"In the summer of 1941, the United States and Japan seem on the brink of war after constant embargos and failed diplomacy come to no end. ""Tora! Tora! Tora!"", named after the code words used by the lead Japanese pilot to indicate they had surprised the Americans, covers the days leading up to the attack on Pearl Harbor, which plunged America into the Second World War.",1970-01-26,/c311sN931DixuZRer0JGYCwpx9N.jpg,/bhEJZ6XH1B9ld97OWppdAnvWzl5.jpg,7.2,590,3.199,MOVIE,en,"Martin Balsam, So Yamamura, Jason Robards, Joseph Cotten, Tatsuya Mihashi","Toshio Masuda, Kinji Fukasaku, Richard Fleischer"
4203,4203,Women on the Verge of a Nervous Breakdown,Mujeres al borde de un ataque de nervios,"After being dumped by her lover, Pepa finds her life and the lives of those around her spiraling out of control in a deliciously chaotic series of events.",1988-03-25,/8C5FJlUo96pj1xAs2BKnB58PYzi.jpg,/eRzwmzyz4sSq2QqjXWehWNkU0Us.jpg,7.403,988,1.8244,MOVIE,es,"Carmen Maura, Antonio Banderas, Julieta Serrano, María Barranco, Rossy de Palma",Pedro Almodóvar
24226,24226,The Verdict,The Verdict,"Frank Galvin is a down-on-his-luck lawyer and reduced to drinking and ambulance chasing, when a former associate reminds him of his obligations in a medical malpractice suit by serving it to Galvin on a silver platter—all parties are willing to settle out of court. Blundering his way through the preliminaries, Galvin suddenly realizes that the case should actually go to court—to punish the guilty, to get a decent settlement for his clients... and to restore his standing as a lawyer.",1982-12-08,/iYEuFP1bpj5yOenKliiRFcNO3VE.jpg,/sgsW7aqUXg4jG2GcoLKotSvp807.jpg,7.451,720,5.6926,MOVIE,en,"Paul Newman, Charlotte Rampling, Jack Warden, James Mason, Milo O'Shea",Sidney Lumet
11379,11379,The Adventures of Buckaroo Banzai Across the 8th Dimension,The Adventures of Buckaroo Banzai Across the 8th Dimension,"Adventurer/surgeon/rock musician Buckaroo Banzai and his band of men, the Hong Kong Cavaliers, take on evil alien invaders from the 8th dimension.",1984-08-10,/jWZh2ChereoxKgTl3AmSAKNpnmO.jpg,/rYla2HuNYbuVU0ZhszkjtGDw3si.jpg,5.955,483,3.918,MOVIE,en,"Peter Weller, John Lithgow, Ellen Barkin, Jeff Goldblum, Christopher Lloyd",W.D. Richter
